"ID";"Sex";"Regions";"Periods";"PopulationOn31December_20"
"4817";"T001038";"GM0740";"2019JJ00";""
"4818";"T001038";"GM0740";"2020JJ00";""
"4873";"T001038";"GM0484";"2014JJ00";"  107396"
"4874";"T001038";"GM0484";"2015JJ00";"  107960"
"4875";"T001038";"GM0484";"2016JJ00";"  108915"
"4876";"T001038";"GM0484";"2017JJ00";"  109682"
"4877";"T001038";"GM0484";"2018JJ00";"  110986"
"4878";"T001038";"GM0484";"2019JJ00";"  111897"
"4879";"T001038";"GM0484";"2020JJ00";"  112587"
"4934";"T001038";"GM0741";"2014JJ00";""
"4935";"T001038";"GM0741";"2015JJ00";""
"4936";"T001038";"GM0741";"2016JJ00";""
"4937";"T001038";"GM0741";"2017JJ00";""
"4938";"T001038";"GM0741";"2018JJ00";""
"4939";"T001038";"GM0741";"2019JJ00";""
"4940";"T001038";"GM0741";"2020JJ00";""
"4995";"T001038";"GM1723";"2014JJ00";"    9753"
"4996";"T001038";"GM1723";"2015JJ00";"    9924"
"4997";"T001038";"GM1723";"2016JJ00";"   10058"
"4998";"T001038";"GM1723";"2017JJ00";"   10083"
"4999";"T001038";"GM1723";"2018JJ00";"   10149"
"5000";"T001038";"GM1723";"2019JJ00";"   10203"
"5001";"T001038";"GM1723";"2020JJ00";"   10373"
"5056";"T001038";"GM1959";"2014JJ00";""
"5057";"T001038";"GM1959";"2015JJ00";""
"5058";"T001038";"GM1959";"2016JJ00";""
"5059";"T001038";"GM1959";"2017JJ00";""
"5060";"T001038";"GM1959";"2018JJ00";""
"5061";"T001038";"GM1959";"2019JJ00";"   55967"
"5062";"T001038";"GM1959";"2020JJ00";"   56352"
"5117";"T001038";"GM0142";"2014JJ00";""
"5118";"T001038";"GM0142";"2015JJ00";""
"5119";"T001038";"GM0142";"2016JJ00";""
"5120";"T001038";"GM0142";"2017JJ00";""
"5121";"T001038";"GM0142";"2018JJ00";""
"5122";"T001038";"GM0142";"2019JJ00";""
"5123";"T001038";"GM0142";"2020JJ00";""
"5178";"T001038";"GM1679";"2014JJ00";""
"5179";"T001038";"GM1679";"2015JJ00";""
"5180";"T001038";"GM1679";"2016JJ00";""
"5181";"T001038";"GM1679";"2017JJ00";""
"5182";"T001038";"GM1679";"2018JJ00";""
"5183";"T001038";"GM1679";"2019JJ00";""
"5184";"T001038";"GM1679";"2020JJ00";""
"5239";"T001038";"GM0883";"2014JJ00";""
"5240";"T001038";"GM0883";"2015JJ00";""
"5241";"T001038";"GM0883";"2016JJ00";""
"5242";"T001038";"GM0883";"2017JJ00";""
"5243";"T001038";"GM0883";"2018JJ00";""
"5244";"T001038";"GM0883";"2019JJ00";""
"5245";"T001038";"GM0883";"2020JJ00";""
"5300";"T001038";"GM0485";"2014JJ00";""
"5301";"T001038";"GM0485";"2015JJ00";""
"5302";"T001038";"GM0485";"2016JJ00";""
"5303";"T001038";"GM0485";"2017JJ00";""
"5304";"T001038";"GM0485";"2018JJ00";""
"5305";"T001038";"GM0485";"2019JJ00";""
"5306";"T001038";"GM0485";"2020JJ00";""
"5361";"T001038";"GM0060";"2014JJ00";"    3590"
"5362";"T001038";"GM0060";"2015JJ00";"    3611"
"5363";"T001038";"GM0060";"2016JJ00";"    3633"
"5364";"T001038";"GM0060";"2017JJ00";"    3654"
"5365";"T001038";"GM0060";"2018JJ00";"    3673"
"5366";"T001038";"GM0060";"2019JJ00";"    3716"
"5367";"T001038";"GM0060";"2020JJ00";"    3746"
"5422";"T001038";"GM0306";"2014JJ00";""
"5423";"T001038";"GM0306";"2015JJ00";""
"5424";"T001038";"GM0306";"2016JJ00";""
"5425";"T001038";"GM0306";"2017JJ00";""
"5426";"T001038";"GM0306";"2018JJ00";""
"5427";"T001038";"GM0306";"2019JJ00";""
"5428";"T001038";"GM0306";"2020JJ00";""
